2025-06-17 13:57:39.227 | INFO     | __main__:main:169 - Scraping AMED...
2025-06-17 13:57:39.885 | DEBUG    | src.scraper:scrape_amed:78 - Found 975 links with selector 'a[href*='/koubo/']'
2025-06-17 13:57:39.886 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「再生医療・遺伝子治療の産業化に向けた基盤技術開発事業（再生・細胞医療・遺伝...
2025-06-17 13:57:41.891 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「臨床研究・治験推進研究事業」に係る公募（2次公募）について...
2025-06-17 13:57:43.894 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「医療分野国際科学技術共同研究開発推進事業（先端国際共同研究推進プログラム（...
2025-06-17 13:57:45.895 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「次世代治療・診断実現のための創薬基盤技術開発事業（次世代送達技術を用いた医薬品研究開発...
2025-06-17 13:57:47.897 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度  「次世代型医療機器開発等促進事業（革新的な医療機器創出プロジェクト）」に係る公募につい...
2025-06-17 13:57:49.903 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「医療分野国際科学技術共同研究開発推進事業（先端国際共同研究推進プログラム（ASPIRE...
2025-06-17 13:57:51.909 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「革新的がん医療実用化研究事業」に係る公募（3次公募）について...
2025-06-17 13:57:53.912 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「次世代型医療機器開発等促進事業（医療機器開発ガイダンス事業）」に係る公募について...
2025-06-17 13:57:55.916 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「次世代型医療機器開発等促進事業（医療機器版3Rプロジェクト）」に係る公募について...
2025-06-17 13:57:57.922 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「難治性疾患実用化研究事業（医療機器）」に係る公募（2次公募）について...
2025-06-17 13:57:59.923 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「医学系研究支援プログラム」に係る公募について...
2025-06-17 13:58:01.927 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「地球規模保健課題解決推進のための研究事業」に係る公募について...
2025-06-17 13:58:03.931 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「新興・再興感染症研究基盤創生事業（海外拠点活用研究領域）」に係る公募につい...
2025-06-17 13:58:05.935 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「新興・再興感染症研究基盤創生事業（多分野融合研究領域）」に係る公募について...
2025-06-17 13:58:07.940 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）	「地球規模保健課題解決推進のための研究事業（日米医学協力計画の若手・女性育...
2025-06-17 13:58:09.943 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）	「創薬基盤推進研究事業」に係る公募（3次公募）について...
2025-06-17 13:58:11.947 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「創薬基盤推進研究事業」に係る公募（2次公募）について...
2025-06-17 13:58:13.953 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 「次世代型医療機器開発等促進事業（介護テクノロジー社会実装のためのエビデンス構築事業【エ...
2025-06-17 13:58:15.955 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「革新的先端研究開発支援事業インキュベートタイプ（LEAP）」に係る公募につ...
2025-06-17 13:58:17.959 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「革新的先端研究開発支援事業（AMED-CREST、PRIME）」に係る公募...
2025-06-17 13:58:19.965 | INFO     | src.scraper:scrape_amed:93 - Parsed study: 令和7年度 （情報更新）「次世代がん医療加速化研究事業」に係る公募（2次公募）について...
